"Census Tract","FIPS Code","Formatted FIPS","Life expectancy at birth, as of 2010-2015."
"37167930101, NC","37167930101","=""37167930101""","78.7"
"37167930102, NC","37167930102","=""37167930102""","78.4"
"37167930200, NC","37167930200","=""37167930200""","82.7"
"37167930300, NC","37167930300","=""37167930300""","76.8"
"37167930500, NC","37167930500","=""37167930500""","70.7"
"37167930700, NC","37167930700","=""37167930700""","75.5"
"37167930801, NC","37167930801","=""37167930801""","77.4"
"37167930802, NC","37167930802","=""37167930802""","75.6"
"37167930900, NC","37167930900","=""37167930900""","81.4"
"37167931000, NC","37167931000","=""37167931000""","77.2"
"37167931100, NC","37167931100","=""37167931100""","75.4"
"37167931201, NC","37167931201","=""37167931201""","73.5"
"37167931202, NC","37167931202","=""37167931202""","74.5"
"37179020100, NC","37179020100","=""37179020100""","77.3"
"37179020202, NC","37179020202","=""37179020202""","76.8"
"37179020203, NC","37179020203","=""37179020203""","N/A"
"37179020204, NC","37179020204","=""37179020204""","75.9"
"37179020305, NC","37179020305","=""37179020305""","81.1"
"37179020306, NC","37179020306","=""37179020306""","78.3"
"37179020307, NC","37179020307","=""37179020307""","78.2"
"37179020308, NC","37179020308","=""37179020308""","77.6"
"37179020309, NC","37179020309","=""37179020309""","80.0"
"37179020310, NC","37179020310","=""37179020310""","N/A"
"37179020311, NC","37179020311","=""37179020311""","79.4"
